Catalog ID,Description,Sex
HG03103,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03105,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03108,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03109,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03110,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03111,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03112,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03113,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03114,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03115,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03116,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03117,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03118,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03119,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03120,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03121,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03122,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03123,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03124,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03125,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03126,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03127,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03128,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03129,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03130,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03131,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03132,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03133,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03134,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03135,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03136,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03137,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03139,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03157,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03159,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03160,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03161,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03162,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03163,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03164,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03166,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03168,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03169,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03170,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03172,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03175,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03189,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03190,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03191,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03193,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03195,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03196,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03197,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03198,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03199,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03200,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03202,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03209,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03212,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03224,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03225,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03228,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03229,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03230,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03234,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03235,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03236,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03237,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03238,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03239,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03240,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03241,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",female
HG03242,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03246,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03247,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",female
HG03248,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03249,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03250,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",female
HG03251,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",female
HG03258,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03259,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",female
HG03260,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03265,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03267,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03268,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03269,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03270,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03271,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03272,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03279,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03280,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03291,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03294,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03295,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03296,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03297,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03298,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03299,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03300,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03301,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03302,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03303,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03304,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03305,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03306,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03307,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03308,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03309,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03310,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03311,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03312,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03313,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03314,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03342,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03343,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03344,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03350,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03351,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03352,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03354,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03363,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03366,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03367,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03368,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03369,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03370,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03371,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03372,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03373,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03374,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03376,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03378,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03380,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03382,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03385,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03388,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03391,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03394,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03397,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03401,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03410,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03419,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03428,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03432,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03433,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03436,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03437,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03438,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03439,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03442,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03445,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03446,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03449,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03451,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03452,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03453,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03454,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03455,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03456,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03457,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03458,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03460,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03461,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03464,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03469,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03470,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03472,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03473,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03476,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03478,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03479,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03480,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03484,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03485,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03486,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03487,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03488,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03489,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03490,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03491,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03492,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03499,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03511,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03514,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03515,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03516,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03517,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03518,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03519,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03520,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03521,1000 GENOMES PROJECT - ESAN FROM NIGERIA,male
HG03522,1000 GENOMES PROJECT - ESAN FROM NIGERIA,female
HG03538,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",male
HG03539,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",female
HG03540,"1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION, THE GAMBIA",female
HG03547,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03548,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03556,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03557,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03558,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03559,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03563,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03565,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03567,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03571,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03572,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03574,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03575,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03576,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03577,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03578,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03579,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03582,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,male
HG03583,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03584,1000 GENOMES PROJECT - MENDE IN SIERRA LEONE,female
HG03585,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03589,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03593,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03594,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03595,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03596,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03598,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03600,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03603,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03604,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03605,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03606,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03607,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03611,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03615,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03616,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03617,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03618,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03619,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03620,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03624,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03625,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03626,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03629,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03631,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03633,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03634,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03635,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03636,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03639,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03640,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03641,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03642,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03643,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03644,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03645,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03646,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03649,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03650,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03651,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03652,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03653,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03654,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03660,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03663,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03667,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03668,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03669,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03672,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03673,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03679,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03680,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03681,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03682,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03683,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03684,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03685,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03686,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03687,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03688,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03689,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03690,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03691,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03692,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03693,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03694,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03695,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03696,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03697,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03698,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03699,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03700,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03701,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03702,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03703,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03704,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03705,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03706,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03707,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03708,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03709,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03710,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03711,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03713,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03714,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03716,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03717,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03718,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03719,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03720,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03721,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03722,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03725,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03727,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03729,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03730,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03731,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03732,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03733,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03736,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03738,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03740,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03741,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03742,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03743,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03744,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03745,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03746,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03750,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03752,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03753,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03754,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03755,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,male
HG03756,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03757,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03760,1000 GENOMES PROJECT - SRI LANKAN TAMIL IN THE UK,female
HG03761,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03762,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03763,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03765,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",female
HG03767,"1000 GENOMES PROJECT - PUNJABI IN LAHORE, PAKISTAN",male
HG03770,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03771,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03772,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03773,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03774,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03775,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03777,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03778,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03779,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03780,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03781,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03782,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03784,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03785,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03786,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03787,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03788,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03789,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,female
HG03790,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03792,1000 GENOMES PROJECT - INDIAN TELUGU IN THE UK,male
HG03793,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03794,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03795,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03796,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,female
HG03797,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
HG03798,1000 GENOMES PROJECT - BENGALI IN BANGLADESH,male
